Amount,Classification_Tag,Status,Year,Month,Day,Hour,DayOfWeek
2921.24,Pre_Funding,Completed,2024,2,17,5,Saturday
601.64,Transfers,Refunded,2024,2,29,20,Thursday
136.21,Withdrawals,Completed,2024,1,24,1,Wednesday
3362.72,Card_Payments,Completed,2024,1,24,6,Wednesday
1304.69,Transfers,Completed,2024,2,28,8,Wednesday
4438.55,Bill_Payments,Pending,2024,1,3,2,Wednesday
2249.63,Transfers,Completed,2024,1,27,11,Saturday
296.48,Transfers,Cancelled,2024,2,14,16,Wednesday
4224.59,Withdrawals,Completed,2024,3,1,7,Friday
1346.93,Pre_Funding,Completed,2024,2,2,23,Friday
878.56,Pre_Funding,Completed,2024,1,3,17,Wednesday
4268.57,Transfers,Completed,2024,3,1,4,Friday
3208.74,Bill_Payments,Completed,2024,2,9,2,Friday
7528.85,Card_Payments,Completed,2024,2,25,4,Sunday
1134.71,Bill_Payments,Completed,2024,1,26,15,Friday
423.83,Transfers,Chargeback,2024,1,14,16,Sunday
3269.85,Card_Payments,Completed,2024,1,8,12,Monday
18.71,Withdrawals,Pending,2024,2,23,6,Friday
15754.63,Transfers,Completed,2024,1,16,21,Tuesday
2262.47,Transfers,Completed,2024,2,1,12,Thursday
3969.56,Bill_Payments,Completed,2024,1,12,17,Friday
485.72,Pre_Funding,Completed,2024,3,1,7,Friday
3299.32,Card_Payments,Completed,2024,2,26,1,Monday
3238.3,Bill_Payments,Completed,2024,1,31,10,Wednesday
175.29,Pre_Funding,Completed,2024,1,25,16,Thursday
4370.97,Bill_Payments,Refunded,2024,1,27,7,Saturday
4606.86,Bill_Payments,Cancelled,2024,2,18,15,Sunday
1968.86,Transfers,Pending,2024,2,3,13,Saturday
4088.87,Bill_Payments,Completed,2024,1,23,3,Tuesday
1598.1,Transfers,Pending,2024,1,29,22,Monday
1107.81,Bill_Payments,Pending,2024,2,2,21,Friday
1868.79,Card_Payments,Completed,2024,2,20,14,Tuesday
1088.25,Transfers,Completed,2024,1,29,22,Monday
2573.06,Pre_Funding,Chargeback,2024,1,16,12,Tuesday
9911.95,Pre_Funding,Cancelled,2024,1,29,4,Monday
2798.0,Bill_Payments,Cancelled,2024,1,9,9,Tuesday
10.3,Withdrawals,Completed,2024,1,3,7,Wednesday
2917.23,Pre_Funding,Completed,2024,1,28,9,Sunday
38.0,Pre_Funding,Completed,2024,2,19,16,Monday
76.8,Transfers,Refunded,2024,2,1,11,Thursday
2470.67,Withdrawals,Refunded,2024,2,6,19,Tuesday
20.51,Withdrawals,Completed,2024,2,27,17,Tuesday
1556.68,Transfers,Cancelled,2024,2,29,3,Thursday
3151.59,Pre_Funding,Completed,2024,1,27,10,Saturday
