Transaction_ID,Customer_ID,Transaction_Date,Description,Amount,Classification_Tag,Transaction_Time,Status,Disputed,FraudFlag,IsDuplicate,VerificationStatus,SettlementStatus,HighValue,ManualReviewFlag,Classified_Status
TXN795097,CUST0136,17/02/2024,E-wallet top-up,2921.24,Pre-Funding,05:04:04,Completed,False,False,False,Completed,Settled,True,True,Pending
TXN825582,CUST0133,29/02/2024,Money transfer via mobile,601.64,Transfers,20:28:17,Refunded,False,False,False,Completed,Settled,False,False,Pending
TXN654812,CUST0040,24/01/2024,POS cash withdrawal,136.21,Withdrawals,01:04:19,Completed,False,False,False,Completed,Settled,False,False,Pending
TXN283765,CUST0003,24/01/2024,Online purchase - electronics,3362.72,Card_Payments,06:54:40,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN749095,CUST0037,28/02/2024,Bank transfer to savings,1304.69,Transfers,08:46:14,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN182773,CUST0182,03/01/2024,Electricity bill payment,4438.55,Bill_Payments,02:04:22,Pending,False,False,False,Failed,Not Settled,True,False,Pending
TXN544045,CUST0173,27/01/2024,Bank transfer to savings,2249.63,Transfers,11:29:36,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN771938,CUST0200,14/02/2024,Bank transfer to savings,296.48,Transfers,16:22:08,Cancelled,False,False,False,Completed,Settled,False,False,Completed
TXN591672,CUST0075,01/03/2024,ATM withdrawal,4224.59,Withdrawals,07:13:08,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN335136,CUST0159,02/02/2024,Salary deposit,1346.93,Pre Funding,23:21:41,Completed,False,False,False,Failed,Settled,True,False,Pending
TXN438291,CUST0069,03/01/2024,Account pre-funding deposit,878.56,Pre-funding,17:29:03,Completed,False,False,False,Completed,Settled,False,False,Completed
TXN187512,CUST0094,01/03/2024,Bank transfer to savings,4268.57,Transfers,04:07:21,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN627807,CUST0138,09/02/2024,Electricity bill payment,3208.74,Bill_Payments,02:06:27,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN372317,CUST0123,25/02/2024,Grocery store card payment,7528.85,Card_Payments,04:55:20,Completed,False,False,False,Completed,Settled,True,False,Pending
TXN693289,CUST0186,26/01/2024,Water bill settlement,1134.71,Bill_Payments,15:12:40,Completed,False,False,False,Completed,Settled,True,False,Completed
TXN263842,CUST0038,14/01/2024,Wire transfer received,423.83,Transfers,16:18:50,Chargeback,False,False,False,Completed,Settled,False,False,Completed
TXN905803,CUST0105,08/01/2024,Restaurant bill payment,3269.85,Card_Payments,12:04:30,Completed,False,False,False,Completed,Settled,True,False,Completed
